N	O1
300	0.006925780
300	0.007249578
300	0.006694224
300	0.006782182
300	0.006611238
300	0.006857841
300	0.006659277
300	0.006621480
300	0.006648416
300	0.006633289
300	0.006653401
300	0.006740722
300	0.006676479
300	0.006888098
300	0.006546101
300	0.006662370
300	0.006799743
300	0.006547269
300	0.006541331
300	0.006854960
300	0.008884897
300	0.007346434
300	0.007207863
300	0.006723312
300	0.007971217
300	0.008765546
300	0.007131955
300	0.007089484
300	0.007035019
300	0.006779853
300	0.006832609
300	0.006602791
300	0.006781076
300	0.006755372
300	0.006593701
300	0.006813689
300	0.006710445
300	0.006562389
300	0.006788188
300	0.006749325
300	0.006721577
300	0.006901305
300	0.008872178
300	0.007479314
300	0.007849848
300	0.006627180
300	0.006790588
300	0.006550391
300	0.006482258
500	0.030298999
500	0.030174960
500	0.028515301
500	0.028524190
500	0.028501080
500	0.028078637
500	0.028358509
500	0.028498913
500	0.028414474
500	0.028799975
500	0.028473130
500	0.029842002
500	0.028671464
500	0.028571303
500	0.029053983
500	0.028524066
500	0.028394285
500	0.028701746
500	0.028514193
500	0.028647619
500	0.028589677
500	0.028770689
500	0.028720077
500	0.028775772
500	0.028380977
500	0.028769139
500	0.028494597
500	0.028458115
500	0.028652737
500	0.028594092
500	0.028752633
500	0.028489778
500	0.028522016
500	0.028494693
500	0.029379734
500	0.028459457
500	0.028099366
500	0.028492499
500	0.028351197
500	0.028390992
500	0.028541540
500	0.028547013
500	0.028640236
500	0.028488440
500	0.028625862
500	0.028684887
500	0.028401368
500	0.028337801
500	0.028331897
500	0.028359573
500	0.028526956
500	0.028716459
500	0.028388073
500	0.028279757
500	0.028255102
500	0.029419505
500	0.028488091
500	0.028333540
500	0.028461471
500	0.028659168
500	0.028510812
500	0.028576937
500	0.028488387
500	0.028422177
500	0.028488661
500	0.028430810
500	0.028471694
500	0.028594464
500	0.028675799
500	0.028604127
500	0.028586762
500	0.028706952
500	0.028421702
500	0.028532928
500	0.028431008
500	0.029102144
500	0.028604016
500	0.028644713
500	0.028665956
500	0.028532557
500	0.028873706
500	0.028684325
500	0.028481996
500	0.028665591
500	0.028462133
500	0.028730704
500	0.028540730
500	0.028374577
500	0.028519618
500	0.028598789
500	0.028419353
500	0.028724452
500	0.028430976
500	0.028397858
500	0.028432948
500	0.028577850
500	0.028691809
500	0.028546819
500	0.028421755
500	0.028840099
600	0.051930908
600	0.049268077
600	0.048957727
600	0.049254271
600	0.049302692
600	0.049252532
600	0.049193474
600	0.049185438
600	0.049295647
600	0.049475535
600	0.049074561
600	0.049078397
600	0.049876467
600	0.049343931
600	0.049095013
600	0.049173508
600	0.049075882
600	0.049337189
600	0.049378284
600	0.057586826
600	0.053298902
600	0.049533412
600	0.049387217
600	0.050186681
600	0.050805592
600	0.049227841
600	0.049253768
600	0.049882450
600	0.049219960
600	0.049073580
600	0.049296857
600	0.049121448
600	0.050404820
600	0.049873440
600	0.049433166
600	0.049507738
600	0.049745598
600	0.049511029
600	0.049850615
600	0.049171450
600	0.049096939
600	0.049219078
600	0.049513539
600	0.049668972
600	0.049284973
600	0.049346050
600	0.049540162
600	0.049654029
600	0.049234694
600	0.049432422
600	0.049374823
600	0.049141523
600	0.049214980
600	0.049392714
600	0.049417753
600	0.049093848
600	0.049173506
600	0.049220266
600	0.049297709
600	0.049878767
600	0.049491972
600	0.049196624
600	0.049246766
600	0.049221119
600	0.049402697
600	0.048994696
600	0.049203531
600	0.049699819
600	0.049194896
600	0.049679705
600	0.049499963
600	0.050250056
600	0.049095436
600	0.049221318
600	0.049167461
600	0.048795846
600	0.049180576
600	0.049387903
600	0.048975918
600	0.049411485
600	0.049484536
600	0.049102385
600	0.049307306
600	0.049800149
600	0.048845217
600	0.049404251
600	0.049243126
600	0.049030759
600	0.049119152
600	0.049319730
600	0.049305606
600	0.049511990
600	0.049464709
600	0.049113144
600	0.048936703
600	0.049673876
600	0.049525431
600	0.049328999
600	0.049301583
600	0.049189337
700	0.085655546
700	0.081427834
700	0.078597156
700	0.076707062
700	0.076944133
700	0.076637643
700	0.076782015
700	0.077285593
700	0.076584770
700	0.076771055
700	0.076583224
700	0.076667348
700	0.076814391
700	0.076563264
700	0.077021148
700	0.076788669
700	0.076833032
700	0.077061665
700	0.076872398
700	0.076623791
700	0.077116796
700	0.076383049
700	0.076486778
700	0.077898174
700	0.077783498
700	0.076504784
700	0.076715132
700	0.076751399
700	0.076625257
700	0.076795274
700	0.077357153
700	0.076834662
700	0.076709480
700	0.076785910
700	0.076802133
700	0.076671687
700	0.077530925
700	0.076811278
700	0.076921317
700	0.076425650
700	0.076685813
700	0.076762724
700	0.076517687
700	0.076821345
700	0.076869734
700	0.076880392
700	0.077166599
700	0.076641155
700	0.077119890
700	0.076726315
700	0.076849267
700	0.076582372
700	0.076752253
700	0.076977888
700	0.077643422
700	0.076821724
700	0.076908246
700	0.076549580
700	0.076823835
700	0.076910752
700	0.076653748
700	0.077348780
700	0.076932303
700	0.076886410
700	0.076872077
700	0.076990201
700	0.076745946
700	0.076760579
700	0.076829816
700	0.077211163
700	0.076871290
700	0.076311762
700	0.076517895
700	0.076311979
700	0.076811907
700	0.076834328
700	0.076956489
700	0.076916257
700	0.076686738
700	0.076768906
700	0.076327913
700	0.076595737
700	0.076580564
700	0.077048666
700	0.076778007
700	0.076991479
700	0.076758173
700	0.076534212
700	0.076533118
700	0.076588479
700	0.076421900
700	0.076812735
700	0.076710591
700	0.076584291
700	0.076642873
700	0.077004247
700	0.076621671
700	0.076599233
700	0.076443302
700	0.076547786
